,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,1,1,0.047041
1,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,2,2,0.057402
2,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,1,1,0.046698
3,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,2,2,0.053402
4,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,1,1,0.053734
5,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,2,2,0.056405
6,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,1,1,0.042852
7,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,2,2,0.056438
8,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,1,1,0.042365
9,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,2,2,0.044758
10,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,1,1,0.047784
11,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,2,2,0.043883
12,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,1,1,0.033112
13,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,2,2,0.035539
14,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,1,1,0.050543
15,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,2,2,0.045091
16,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,5,1,1,0.035428
17,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,5,2,2,0.040891
18,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,4,5,1,1,0.043573
19,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,4,5,2,2,0.042055
20,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,2,1,1,0.038896
21,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,2,2,2,0.053025
22,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,3,1,1,0.04365
23,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,3,2,2,0.056261
24,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,4,1,1,0.058511
