,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.039026
1,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.04742
2,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.043699
3,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.048228
4,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.047233
5,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.042404
6,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.037575
7,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.045057
8,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.042622
9,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.03743
10,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.048477
11,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.034798
12,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.035959
13,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.031751
14,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.042187
15,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.035772
16,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.033689
17,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.039565
18,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.037161
19,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.028663
20,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.039254
21,ii,hamming_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.040446
