,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,1,1,0.010206
1,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,2,2,0.013087
2,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,1,1,0.012156
3,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,2,2,0.013664
4,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,1,1,0.011525
5,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,2,2,0.012744
6,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,1,1,0.012533
7,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,2,2,0.01373
8,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,1,1,0.012954
9,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,2,2,0.015758
10,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,1,1,0.011259
11,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,2,2,0.015126
12,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,1,1,0.013265
13,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,2,2,0.01639
14,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,1,1,0.012267
15,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,2,2,0.015126
16,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,1,1,0.014096
17,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,2,2,0.016356
18,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,4,5,1,1,0.013675
19,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,4,5,2,2,0.016334
20,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,2,1,1,0.014351
21,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,2,2,2,0.014007
22,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,3,1,1,0.012411
23,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,3,2,2,0.01045
24,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,4,1,1,0.004555
25,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,4,2,2,0.009231
26,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,5,1,1,0.011968
27,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,5,2,2,0.010904
28,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,3,1,1,0.013963
29,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,3,2,2,0.015315
30,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,4,1,1,0.008223
31,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,4,2,2,0.012954
32,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,5,1,1,0.01414
